adm3_pcode,adm3_name,adm2_name,adm1_name,total_population,populated_hex_count,total_area_km2,populated_area_km2,arithmetic_density,physiographic_density
MMR002007,Mese,Bawlake,Kayah,7490.0,71,1809.6178,60.7079,4.139,123.3776
MMR003001,Hpa-An,Hpa-An,Kayin,448452.0,1607,2900.8819,1391.7556,154.5916,322.2204
MMR003002,Hlaingbwe,Hpa-An,Kayin,254510.0,1522,4324.9775,1315.2367,58.8465,193.5089
MMR003003,Hpapun,Hpapun,Kayin,33639.0,721,6730.3931,620.3454,4.9981,54.2262
MMR003004,Thandaunggyi,Hpa-An,Kayin,92749.0,539,3635.2807,459.9497,25.5136,201.6503
MMR003005,Myawaddy,Myawaddy,Kayin,154872.0,1221,3138.1882,1057.1493,49.3508,146.4996
MMR003006,Kawkareik,Kawkareik,Kayin,206735.0,1336,2415.2351,1158.1152,85.5962,178.5099
MMR003007,Kyainseikgyi,Kawkareik,Kayin,244699.0,2103,7192.6316,1829.678,34.0208,133.7388
MMR004001,Falam,Falam,Chin,51650.0,243,2684.6048,199.8293,19.2393,258.4706
MMR004002,Hakha,Hakha,Chin,54644.0,1011,4307.9969,837.5449,12.6843,65.2431
MMR004003,Thantlang,Hakha,Chin,54587.0,322,3478.2583,266.6374,15.6938,204.7237
MMR004004,Tedim,Falam,Chin,97863.0,1204,2425.1149,986.6646,40.354,99.1857
MMR004005,Tonzang,Falam,Chin,31473.0,139,3495.4728,113.4048,9.0039,277.5279
MMR004006,Mindat,Mindat,Chin,47030.0,212,3280.4453,177.6119,14.3365,264.7908
MMR004007,Matupi,Matupi,Chin,56834.0,335,5946.6149,279.417,9.5574,203.4021
MMR004008,Kanpetlet,Mindat,Chin,26081.0,117,2509.488,98.3115,10.393,265.2894
MMR004009,Paletwa,Matupi,Chin,100422.0,366,8148.5598,306.8778,12.3239,327.2378
MMR005001,Sagaing,Sagaing,Sagaing,309760.0,713,1267.2748,592.2149,244.43,523.0534
MMR005002,Myinmu,Sagaing,Sagaing,105271.0,384,783.8823,319.1812,134.2944,329.8158
MMR005003,Myaung,Sagaing,Sagaing,99724.0,188,414.0584,156.7475,240.8453,636.2078
MMR005004,Shwebo,Shwebo,Sagaing,271084.0,672,1059.3177,554.8415,255.9043,488.5792
MMR005005,Khin-U,Shwebo,Sagaing,148605.0,541,1045.9391,445.7125,142.0781,333.41
MMR005006,Wetlet,Shwebo,Sagaing,196669.0,739,1318.7797,611.651,149.1295,321.5379
MMR005007,Kanbalu,Kanbalu,Sagaing,311796.0,1597,4070.819,1310.0147,76.5929,238.0095
MMR005008,Kyunhla,Kanbalu,Sagaing,98652.0,308,2761.0328,251.7735,35.7301,391.8284
MMR005009,Ye-U,Shwebo,Sagaing,114788.0,470,1401.8982,387.1786,81.8804,296.473
MMR005010,Tabayin,Shwebo,Sagaing,143893.0,595,1382.2557,491.1859,104.1001,292.9502
MMR005011,Taze,Shwebo,Sagaing,163683.0,571,1856.8165,469.2339,88.1525,348.8303
MMR005012,Monywa,Monywa,Sagaing,378847.0,517,673.8534,429.2765,562.2098,882.5244
MMR005013,Budalin,Monywa,Sagaing,128000.0,526,1075.8821,435.3351,118.9721,294.0264
MMR005014,Ayadaw,Monywa,Sagaing,152147.0,883,1245.1215,731.7463,122.1945,207.9231
MMR005015,Chaung-U,Monywa,Sagaing,106806.0,284,495.0538,236.3377,215.7463,451.9212
MMR005016,Yinmarbin,Yinmarbin,Sagaing,129723.0,449,951.6742,372.8954,136.3103,347.8804
MMR005017,Kani,Yinmarbin,Sagaing,140870.0,856,3366.294,708.3622,41.8472,198.8672
MMR005018,Salingyi,Yinmarbin,Sagaing,117561.0,382,695.2543,317.8067,169.0906,369.9136
MMR005019,Pale,Yinmarbin,Sagaing,146171.0,727,1592.8735,605.1501,91.7656,241.545
MMR005020,Katha,Katha,Sagaing,178377.0,586,2255.08,474.4653,79.1001,375.9537
MMR005021,Indaw,Katha,Sagaing,127540.0,299,1892.4354,241.5898,67.3946,527.9196
MMR005022,Tigyaing,Katha,Sagaing,141644.0,414,1833.7641,336.5945,77.2422,420.815
MMR005023,Banmauk,Katha,Sagaing,120701.0,223,3403.795,179.855,35.4607,671.1017
MMR005024,Kawlin,Kawlin,Sagaing,153288.0,417,1891.6614,339.5522,81.0335,451.4416
MMR005025,Wuntho,Kawlin,Sagaing,74863.0,225,1325.0157,182.7196,56.4997,409.7152
MMR005026,Pinlebu,Kawlin,Sagaing,121002.0,409,3288.4296,332.0212,36.7963,364.4406
MMR005027,Kale,Kale,Sagaing,372544.0,691,2336.9544,567.5327,159.4143,656.4274
MMR005028,Kalewa,Kale,Sagaing,61229.0,399,2365.2587,327.0414,25.8868,187.2209
MMR005029,Mingin,Kale,Sagaing,113711.0,653,3965.5423,537.7265,28.6748,211.4662
MMR005030,Tamu,Tamu,Sagaing,106663.0,462,1960.448,374.1647,54.4075,285.0697
MMR005031,Mawlaik,Mawlaik,Sagaing,54224.0,356,3528.4759,290.3777,15.3675,186.7361
MMR005032,Paungbyin,Mawlaik,Sagaing,121623.0,792,4166.5999,641.004,29.19,189.7383
MMR005033,Hkamti,Hkamti,Sagaing,54877.0,528,8189.8825,417.1289,6.7006,131.5589
MMR005034,Homalin,Hkamti,Sagaing,278517.0,1299,10667.5324,1041.6637,26.1088,267.3771
